iter	Passed	Remaining
649	59638	32112
650	59731	32021
651	59833	31935
652	59924	31843
653	60018	31752
654	60096	31653
655	60189	31562
656	60286	31473
657	60383	31384
658	60468	31289
659	60560	31197
660	60650	31105
661	60744	31014
662	60835	30922
663	60930	30832
664	61028	30743
665	61135	30659
666	61237	30572
667	61327	30480
668	61418	30388
669	61507	30294
670	61598	30202
671	61677	30104
672	61771	30013
673	61863	29921
674	61955	29830
675	62048	29739
676	62138	29646
677	62226	29552
678	62324	29463
679	62420	29374
680	62509	29281
681	62601	29189
682	62689	29095
683	62783	29005
684	62875	28913
685	62970	28823
686	63072	28736
687	63173	28648
688	63266	28557
689	63358	28465
690	63446	28372
691	63535	28278
692	63623	28185
693	63718	28094
694	63809	28002
695	63903	27911
696	63988	27817
697	64084	27727
698	64178	27636
699	64267	27543
700	64358	27451
701	64457	27362
702	64552	27271
703	64648	27181
704	64736	27088
705	64812	26989
706	64908	26899
707	64998	26807
708	65097	26718
709	65201	26631
710	65293	26539
711	65388	26449
712	65482	26358
713	65573	26266
714	65667	26175
715	65756	26082
716	65844	25988
717	65937	25897
718	66028	25805
719	66121	25713
720	66203	25618
721	66300	25528
722	66394	25437
723	66488	25346
724	66584	25256
725	66675	25164
726	66769	25072
727	66865	24982
728	66945	24886
729	67045	24797
730	67130	24703
731	67219	24610
732	67334	24527
733	67421	24433
734	67510	24340
735	67602	24248
736	67693	24156
737	67783	24064
738	67870	23970
739	67962	23878
740	68056	23787
741	68145	23694
742	68243	23605
743	68334	23512
744	68421	23419
745	68510	23326
746	68604	23235
747	68697	23144
748	68784	23050
749	68875	22958
750	68967	22866
751	69058	22774
752	69147	22681
753	69236	22588
754	69349	22504
755	69453	22416
756	69543	22323
757	69631	22230
758	69730	22141
759	69820	22048
760	69911	21956
761	70006	21865
762	70101	21774
763	70198	21684
764	70293	21593
765	70387	21502
766	70478	21409
767	70578	21320
768	70670	21228
769	70766	21137
770	70857	21045
771	70951	20954
772	71038	20861
773	71127	20768
774	71228	20679
775	71316	20586
776	71402	20492
777	71523	20409
778	71617	20317
779	71726	20230
780	71824	20140
781	71912	20047
782	72005	19955
783	72104	19865
784	72195	19773
785	72284	19680
786	72375	19588
787	72456	19493
788	72544	19400
789	72637	19308
790	72736	19218
791	72828	19126
792	72925	19036
793	73023	18945
794	73117	18854
795	73209	18762
796	73292	18667
797	73376	18574
798	73482	18485
799	73581	18395
800	73673	18303
801	73763	18210
802	73872	18123
803	73966	18031
804	74056	17939
805	74148	17847
806	74244	17756
807	74342	17665
808	74435	17573
809	74532	17482
810	74622	17390
811	74720	17299
812	74812	17207
813	74898	17114
814	74991	17022
815	75078	16929
816	75171	16837
817	75262	16745
818	75359	16654
819	75451	16562
820	75557	16473
821	75654	16382
822	75748	16290
823	75838	16198
824	75942	16109
825	76032	16016
826	76119	15923
827	76217	15832
828	76316	15742
829	76408	15649
830	76497	15557
831	76584	15464
832	76669	15370
833	76764	15279
834	76855	15187
835	76947	15095
836	77036	15002
837	77126	14909
838	77216	14817
839	77312	14726
840	77403	14634
841	77494	14541
842	77597	14451
843	77700	14361
844	77792	14269
845	77883	14177
846	77976	14085
847	78067	13993
848	78166	13902
849	78259	13810
850	78362	13720
851	78452	13627
852	78548	13536
853	78643	13444
854	78737	13353
855	78829	13261
856	78922	13169
857	79005	13075
858	79095	12983
859	79187	12891
860	79277	12798
861	79376	12707
862	79469	12615
863	79558	12523
864	79648	12430
865	79767	12342
866	79864	12251
867	79955	12159
868	80048	12067
869	80138	11974
870	80234	11883
871	80334	11792
872	80429	11700
873	80532	11609
874	80625	11517
875	80723	11426
876	80818	11334
877	80909	11242
878	81002	11150
879	81089	11057
880	81179	10965
881	81267	10872
882	81362	10780
883	81463	10689
884	81552	10597
885	81641	10504
886	81733	10412
887	81847	10323
888	81932	10230
889	82018	10137
890	82107	10044
891	82197	9952
892	82285	9859
893	82379	9767
894	82469	9675
895	82567	9583
896	82662	9491
897	82754	9399
898	82846	9307
899	82941	9215
900	83033	9123
901	83131	9032
902	83223	8939
903	83316	8847
904	83414	8756
905	83504	8663
906	83596	8571
907	83689	8479
908	83797	8388
909	83922	8300
910	84012	8207
911	84107	8115
912	84202	8023
913	84298	7931
914	84393	7839
915	84497	7748
